City,ZIP,Diesel,Electric,Flex_Fuel,Gasoline,Gasoline_Hybrid,Hydrogen,Natural_Gas,PHEV,Propane,Total_Cars,Total_EV,EV_perc,Median_Household_Income,Latino_perc,White_perc,Asian_perc,Black_perc,BachOrHigher_perc,Total_Population,Zillow_Home_Value_Index,County
Mecca,92254,72,5,438,7913,87,0,2,5,0,8522,10,0.12,28897.0,98.2,0.6,0.0,0.0,0.0,7478.0,292607.08,Riverside
Tulelake,96134,134,2,162,1494,19,0,0,0,0,1811,2,0.11,44924.0,42.9,53.4,0.0,0.7,19.0,2144.0,138584.31,Siskiyou
Janesville,96114,404,1,182,2338,42,0,0,2,0,2969,3,0.1,67375.0,13.8,78.7,1.1,0.0,13.1,3200.0,308730.52,Lassen
Susanville,96130,988,6,884,10890,151,0,1,5,0,12925,11,0.09,64566.0,24.0,58.2,1.6,10.2,10.3,21904.0,229398.81,Lassen
Etna,96027,310,1,104,1784,32,0,0,1,0,2232,2,0.09,57250.0,3.1,85.3,0.6,1.5,23.7,2118.0,268315.91,Siskiyou
Biola,93606,16,0,53,985,18,0,0,1,1,1074,1,0.09,72917.0,85.4,2.9,11.7,0.0,12.1,1138.0,829839.3374800868,Fresno
Burney,96013,285,0,261,2731,47,0,0,3,0,3327,3,0.09,51105.0,4.6,87.9,0.2,1.5,10.9,4519.0,210320.65,Shasta
Calipatria,92233,74,0,249,3206,33,0,0,3,0,3565,3,0.08,41071.0,72.4,6.7,1.9,15.9,1.4,7454.0,180240.08,Imperial
Alturas,96101,466,2,346,4243,61,0,0,2,0,5120,4,0.08,51634.0,14.7,77.6,0.1,2.8,15.9,5343.0,163611.71,Modoc
Loyalton,96118,151,0,77,1326,24,0,0,1,0,1579,1,0.06,57363.0,6.3,93.0,0.0,0.1,18.3,1494.0,288565.07,Sierra
Hoopa,95546,129,0,150,1823,41,0,0,1,0,2144,1,0.05,41292.0,1.7,6.2,6.2,0.1,19.8,3121.0,829839.3374800868,Humboldt
Westmorland,92281,42,0,119,1758,25,0,0,1,0,1945,1,0.05,33833.0,89.8,8.4,0.4,0.5,5.3,2548.0,829839.3374800868,Imperial
Herlong,96113,31,0,53,625,4,0,0,0,0,713,0,0.0,50742.0,27.0,40.4,1.1,22.3,7.7,2245.0,118310.81,Lassen
Winterhaven,92283,21,0,78,817,10,0,0,0,0,926,0,0.0,26685.0,24.2,25.7,0.5,0.8,8.6,1918.0,829839.3374800868,Imperial
Doyle,96109,83,0,56,722,4,0,0,0,0,865,0,0.0,50455.0,1.4,92.0,0.0,0.0,16.6,1179.0,182081.78,Lassen
Represa,95671,0,0,11,68,0,0,0,0,0,79,0,0.0,137250.0,34.4,17.4,2.4,42.0,3.3,5386.0,829839.3374800868,Sacramento
Dorris,96023,89,0,73,698,11,0,0,0,0,871,0,0.0,38125.0,27.9,69.1,1.4,0.5,10.1,1288.0,123004.83,Siskiyou
Death Valley,92328,6,0,14,174,6,0,0,0,0,200,0,0.0,82750.0,42.1,54.4,1.3,0.0,39.4,1049.0,829839.3374800868,Inyo
Cantua Creek,93608,14,0,62,721,6,0,0,0,0,803,0,0.0,36413.0,98.2,1.8,0.0,0.0,0.0,1180.0,206742.52,Fresno
Palermo,95968,115,0,97,1451,25,0,0,0,0,1688,0,0.0,32917.0,25.3,63.3,1.5,1.4,9.9,1265.0,240692.6,Butte
